ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Product: ID,Product: Handle,Product: Position,Products Count,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: title_tag [single_line_text_field]
466405622060,tiana,MERGE,Tiana kollekció,Tekintse meg Tiana kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:45 +0100,web,,,,,6926,TRUE,any condition,Tag,Equals,tiana,8896492273964,tiana-white-4-coasters-set,,1,,,Urban Home - Tiana kollekció
466405654828,roperta,MERGE,Roperta kollekció,Tekintse meg Roperta kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:46 +0100,web,,,,,6927,TRUE,any condition,Tag,Equals,roperta,8896453116204,roperta-porcelain-coffee-cup-in-terracotta,,2,,,Urban Home - Roperta kollekció
466405687596,yanet,MERGE,Yanet kollekció,Tekintse meg Yanet kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:46 +0100,web,,,,,6929,TRUE,any condition,Tag,Equals,yanet,,,,0,,,Urban Home - Yanet kollekció
466405753132,liuva,MERGE,Liuva kollekció,Tekintse meg Liuva kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:47 +0100,web,,,,,6930,TRUE,any condition,Tag,Equals,liuva,,,,0,,,Urban Home - Liuva kollekció
466405720364,urania,MERGE,Urania kollekció,Tekintse meg Urania kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:47 +0100,web,,,,,6931,TRUE,any condition,Tag,Equals,urania,15059921502593,bemutato-termek-urania-asztali-lampa-rattanbol-es-fembol-fekete-szinure-festett-kivitelben,,2,,,Urban Home - Urania kollekció
466405785900,melia,MERGE,Melia kollekció,Tekintse meg Melia kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:18 +0200,TRUE,2023-12-05 14:44:48 +0100,web,,,,,6933,TRUE,any condition,Tag,Equals,melia,8896422740268,melia-trivet,,1,,,Urban Home - Melia kollekció
466405818668,sayuri,MERGE,Sayuri kollekció,Tekintse meg Sayuri kollekciónk összes darabját!,Best Selling,,2025-09-01 00:09:46 +0200,TRUE,2023-12-05 14:44:48 +0100,web,,,,,6934,TRUE,any condition,Tag,Equals,sayuri,8896476119340,sayuri-small-porcelain-bowl-in-green-and-white,,7,,,Urban Home - Sayuri kollekció
466405851436,marlene,MERGE,Marlene kollekció,Tekintse meg Marlene kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:19 +0200,TRUE,2023-12-05 14:44:49 +0100,web,,,,,6941,TRUE,any condition,Tag,Equals,marlene,8896414875948,marlene-pink-velvet-chair-with-steel-legs-with-gold-finish,,1,,,Urban Home - Marlene kollekció
466405884204,marga,MERGE,Marga kollekció,Tekintse meg Marga kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:19 +0200,TRUE,2023-12-05 14:44:49 +0100,web,,,,,6942,TRUE,any condition,Tag,Equals,marga,,,,0,,,Urban Home - Marga kollekció
466405916972,dilva,MERGE,Dilva kollekció,Tekintse meg Dilva kollekciónk összes darabját!,Best Selling,,2025-08-16 11:06:19 +0200,TRUE,2023-12-05 14:44:50 +0100,web,,,,,6943,TRUE,any condition,Tag,Equals,dilva,,,,0,,,Urban Home - Dilva kollekció
